idna_subject,checker_type,destination,tested_at
ajszcymkv.com,AVAILABILITY,easylist_adservers.txt,2021-01-29 17:32:45.298199
ajtctiiiaz.com,AVAILABILITY,easylist_adservers.txt,2021-01-29 17:35:45.907629
ajuegtbkqnh.com,AVAILABILITY,easylist_adservers.txt,2021-01-29 17:38:27.078197
akbeyfcu.com,AVAILABILITY,easylist_adservers.txt,2021-01-29 17:41:08.241846
akuettddwkwtdx.com,AVAILABILITY,easylist_adservers.txt,2021-01-29 17:43:50.281686
alahnavideos.pro,AVAILABILITY,easylist_adservers.txt,2021-01-29 17:46:37.119072
alapsblu.com,AVAILABILITY,easylist_adservers.txt,2021-01-29 17:49:21.002665
aleaidass.site,AVAILABILITY,easylist_adservers.txt,2021-01-29 17:52:06.825045
alealebag.site,AVAILABILITY,easylist_adservers.txt,2021-01-29 17:54:53.931010
alhistoriousg.info,AVAILABILITY,easylist_adservers.txt,2021-01-29 18:52:19.211423
aliticalpassister.info,AVAILABILITY,easylist_adservers.txt,2021-01-29 18:54:57.797124
alldeveldefinite.info,AVAILABILITY,easylist_adservers.txt,2021-01-29 18:57:36.402451
allycollegedstrie.info,AVAILABILITY,easylist_adservers.txt,2021-01-29 19:00:19.928670
alnsvbmp.com,AVAILABILITY,easylist_adservers.txt,2021-01-29 19:03:16.955225
alruqbfjg.com,AVAILABILITY,easylist_adservers.txt,2021-01-29 19:06:13.425454
alszaaceaz.com,AVAILABILITY,easylist_adservers.txt,2021-01-29 19:09:08.359003
alvfzqwkb.com,AVAILABILITY,easylist_adservers.txt,2021-01-29 19:11:44.934594
alwkvwdxqojyce.com,AVAILABILITY,easylist_adservers.txt,2021-01-29 19:14:40.330578
alwsbnvialll.com,AVAILABILITY,easylist_adservers.txt,2021-01-29 19:17:35.736423
amakwktrnb.com,AVAILABILITY,easylist_adservers.txt,2021-01-29 19:20:14.025188
amaqvmfd.com,AVAILABILITY,easylist_adservers.txt,2021-01-29 19:22:50.404837
amaumomt.com,AVAILABILITY,easylist_adservers.txt,2021-01-29 19:25:31.076258
amcpusvcit.com,AVAILABILITY,easylist_adservers.txt,2021-01-29 19:28:07.595274
amifgpprfrbsm.com,AVAILABILITY,easylist_adservers.txt,2021-01-29 19:30:46.259783
amjrfmhtmoyan.com,AVAILABILITY,easylist_adservers.txt,2021-01-29 19:33:22.550369
ampallall.site,AVAILABILITY,easylist_adservers.txt,2021-01-29 19:35:59.490666
amrnhiqy.com,AVAILABILITY,easylist_adservers.txt,2021-01-29 20:40:59.065434
amswtlxkvzc.com,AVAILABILITY,easylist_adservers.txt,2021-01-29 20:48:51.003593
amxodxmsuwdhn.com,AVAILABILITY,easylist_adservers.txt,2021-01-29 20:51:29.031213
anbalxkcpwa.com,AVAILABILITY,easylist_adservers.txt,2021-01-29 20:54:06.513628
andbaybay.club,AVAILABILITY,easylist_adservers.txt,2021-01-29 20:56:45.264779
andvqrqaeu.com,AVAILABILITY,easylist_adservers.txt,2021-01-29 20:59:43.972126
anerqdd.ga,AVAILABILITY,easylist_adservers.txt,2021-01-29 21:02:26.467891
anthropophile.site,AVAILABILITY,easylist_adservers.txt,2021-01-29 21:05:06.713966
anvtnqpbkjyk.com,AVAILABILITY,easylist_adservers.txt,2021-01-29 21:07:43.661289
anycadark.site,AVAILABILITY,easylist_adservers.txt,2021-01-29 21:10:20.307218
anyonemyth.com,AVAILABILITY,easylist_adservers.txt,2021-01-29 21:12:56.734035
aodsywsxzquemt.com,AVAILABILITY,easylist_adservers.txt,2021-01-29 21:15:52.916909
aopxnvrugx.com,AVAILABILITY,easylist_adservers.txt,2021-01-29 21:18:29.472609
aoqvizrign.com,AVAILABILITY,easylist_adservers.txt,2021-01-29 21:21:26.656836
aosztecuq.com,AVAILABILITY,easylist_adservers.txt,2021-01-29 21:24:10.464787
aowmaijlvxdcs.com,AVAILABILITY,easylist_adservers.txt,2021-01-29 22:41:16.563312
applatisserie.site,AVAILABILITY,easylist_adservers.txt,2021-01-29 22:43:56.712661
aqfhhfqarukys.com,AVAILABILITY,easylist_adservers.txt,2021-01-29 22:46:35.132181
aqftikmr.com,AVAILABILITY,easylist_adservers.txt,2021-01-29 22:49:11.470057
aqkrqjvc.com,AVAILABILITY,easylist_adservers.txt,2021-01-29 22:52:08.742655
aqpjyujihpbggj.com,AVAILABILITY,easylist_adservers.txt,2021-01-29 22:55:14.398724
aqrprjdqogzghb.com,AVAILABILITY,easylist_adservers.txt,2021-01-29 22:58:09.754127
aqyuxcnsbfhuia.com,AVAILABILITY,easylist_adservers.txt,2021-01-29 23:01:15.842988
aranlucas.pro,AVAILABILITY,easylist_adservers.txt,2021-01-29 23:03:54.124779
arasyqslwmfat.com,AVAILABILITY,easylist_adservers.txt,2021-01-29 23:06:49.854379
arbawijlgq.com,AVAILABILITY,easylist_adservers.txt,2021-01-29 23:09:48.799413
arccdyvgh.com,AVAILABILITY,easylist_adservers.txt,2021-01-29 23:12:44.592951
arfttojxv.com,AVAILABILITY,easylist_adservers.txt,2021-01-29 23:15:29.826009
argggultrji.com,AVAILABILITY,easylist_adservers.txt,2021-01-29 23:18:06.507649
aribcosw.com,AVAILABILITY,easylist_adservers.txt,2021-01-29 23:21:07.312343
arlitasite.pro,AVAILABILITY,easylist_adservers.txt,2021-01-29 23:23:45.583351
arolrurt.uk,AVAILABILITY,easylist_adservers.txt,2021-01-30 01:23:40.543025
arshgkcfdhgr.com,AVAILABILITY,easylist_adservers.txt,2021-01-30 01:27:06.241855
artandand.online,AVAILABILITY,easylist_adservers.txt,2021-01-30 01:31:50.734678
artantash.club,AVAILABILITY,easylist_adservers.txt,2021-01-30 01:35:07.585730
artapeare.site,AVAILABILITY,easylist_adservers.txt,2021-01-30 01:38:11.220004
arthwhilearthu.info,AVAILABILITY,easylist_adservers.txt,2021-01-30 01:41:16.263686
artneesrparkete.info,AVAILABILITY,easylist_adservers.txt,2021-01-30 01:44:21.866599
artqpnah.com,AVAILABILITY,easylist_adservers.txt,2021-01-30 01:47:45.718775
aseabnyw.com,AVAILABILITY,easylist_adservers.txt,2021-01-30 01:50:52.217988
asenytuhlhwrwz.com,AVAILABILITY,easylist_adservers.txt,2021-01-30 01:53:55.930684
ashaidart.site,AVAILABILITY,easylist_adservers.txt,2021-01-30 01:57:00.762074
ashamparm.site,AVAILABILITY,easylist_adservers.txt,2021-01-30 02:00:04.298510
ashchiasp.club,AVAILABILITY,easylist_adservers.txt,2021-01-30 02:03:09.405799
asiinbyu.com,AVAILABILITY,easylist_adservers.txt,2021-01-30 02:06:13.650634
asingsprxxebsx.com,AVAILABILITY,easylist_adservers.txt,2021-01-30 02:50:42.056132
askallalb.club,AVAILABILITY,easylist_adservers.txt,2021-01-30 02:53:34.855997
asuydisi.com,AVAILABILITY,easylist_adservers.txt,2021-01-30 02:57:26.376342
atacjnqbkok.com,AVAILABILITY,easylist_adservers.txt,2021-01-30 03:00:24.248071
atelovesinothic.info,AVAILABILITY,easylist_adservers.txt,2021-01-30 03:03:07.420167
atesbrothereso.info,AVAILABILITY,easylist_adservers.txt,2021-01-30 03:05:51.323281
atilohdxsg.com,AVAILABILITY,easylist_adservers.txt,2021-01-30 03:08:51.027177
atpqczsqjsxvln.com,AVAILABILITY,easylist_adservers.txt,2021-01-30 03:11:57.783690
atterrounesh.info,AVAILABILITY,easylist_adservers.txt,2021-01-30 03:14:36.841162
atvbrhljmsor.com,AVAILABILITY,easylist_adservers.txt,2021-01-30 03:17:33.434951
atzcmddc.com,AVAILABILITY,easylist_adservers.txt,2021-01-30 03:20:10.514712
auhqnsjbvizeey.com,AVAILABILITY,easylist_adservers.txt,2021-01-30 03:23:10.570296
auqefmhsutnldv.com,AVAILABILITY,easylist_adservers.txt,2021-01-30 03:25:53.860570
aurhgaees.com,AVAILABILITY,easylist_adservers.txt,2021-01-30 03:28:30.766214
aurjueeh.com,AVAILABILITY,easylist_adservers.txt,2021-01-30 03:31:31.355788
auvillargeois.site,AVAILABILITY,easylist_adservers.txt,2021-01-30 03:34:09.906348
avmftuama.com,AVAILABILITY,easylist_adservers.txt,2021-01-30 04:47:25.616661
avuvldbc.com,AVAILABILITY,easylist_adservers.txt,2021-01-30 04:50:49.257996
avwincall.info,AVAILABILITY,easylist_adservers.txt,2021-01-30 04:53:54.013078
awcpmsaiv.com,AVAILABILITY,easylist_adservers.txt,2021-01-30 04:56:57.924539
awehobrasp.live,AVAILABILITY,easylist_adservers.txt,2021-01-30 05:00:01.669569
awjkddtq.com,AVAILABILITY,easylist_adservers.txt,2021-01-30 05:03:08.635326
awjyickdugj.com,AVAILABILITY,easylist_adservers.txt,2021-01-30 05:06:31.517628
awnyohgtmb.com,AVAILABILITY,easylist_adservers.txt,2021-01-30 05:09:35.963550
awrnrkmwtia.com,AVAILABILITY,easylist_adservers.txt,2021-01-30 05:13:10.561623
awsatstb.com,AVAILABILITY,easylist_adservers.txt,2021-01-30 05:20:03.676820
awtvnrgwxletd.com,AVAILABILITY,easylist_adservers.txt,2021-01-30 05:23:31.360764
axadaldlozmqu.com,AVAILABILITY,easylist_adservers.txt,2021-01-30 05:26:35.239244
axeclbthp.com,AVAILABILITY,easylist_adservers.txt,2021-01-30 05:29:39.373671
axlwizxolfby.com,AVAILABILITY,easylist_adservers.txt,2021-01-30 06:42:00.209518
axzwzpxcnwrp.com,AVAILABILITY,easylist_adservers.txt,2021-01-30 06:44:55.226050
ayazstuzc.com,AVAILABILITY,easylist_adservers.txt,2021-01-30 06:47:31.473512
aycksenkb.com,AVAILABILITY,easylist_adservers.txt,2021-01-30 06:50:09.345136
ayfzryxitsusx.com,AVAILABILITY,easylist_adservers.txt,2021-01-30 06:52:46.020947
ayggsmmb.com,AVAILABILITY,easylist_adservers.txt,2021-01-30 06:55:22.293789
aymaypibp.com,AVAILABILITY,easylist_adservers.txt,2021-01-30 06:57:58.926670
ayrovalcontain.info,AVAILABILITY,easylist_adservers.txt,2021-01-30 07:00:35.505307
ayyslqwrmoygf.com,AVAILABILITY,easylist_adservers.txt,2021-01-30 07:03:12.260209
azcvjaninfa.com,AVAILABILITY,easylist_adservers.txt,2021-01-30 07:06:16.457902
azdqwztcp.com,AVAILABILITY,easylist_adservers.txt,2021-01-30 07:09:14.120825
